Gender Targeted,Comment,Ground Truth
Woman,She's definitely slept with the whole school,Toxic
Woman,"She's so easy, she gets with everyone and is definitely disrespected",Toxic
Woman,She sleeps around so much and has had to get a bunch of abortions,Toxic
Woman,She's so slutty and has to have had so many STDs,Toxic
Woman,She dresses so skimpy just to get guys to want her,Toxic
Woman,She's known for being promiscuous in this town,Toxic
Woman,Everyone thinks she's a whore,Toxic
Man,He definitely acts and dresses like he's tryna get laid,Toxic
Man,He's been getting so many girls pregnant and has probably had to take so many girls to get abortions,Toxic
Man,"He so horny and notorious for sleeping with every girl, I bet he has so many STDs",Toxic
Man,"He's such a man-whore, and probably has slept with the whole school",Toxic
Man,"He's such a fuckboy, and goes for every girl he sees",Toxic
Man,"It's not that hard to get with him, he's basically a hooker and disrespected",Toxic
